BusinessTravel,Department,EducationField,JobLevel,JobRole,MaritalStatus,OverTime,Attrited
Travel_Rarely,Sales,Life Sciences,2,Sales Executive,Single,Yes,Yes
Travel_Frequently,Research & Development,Life Sciences,2,Research Scientist,Married,No,No
Travel_Rarely,Research & Development,Other,1,Laboratory Technician,Single,Yes,Yes
Travel_Frequently,Research & Development,Life Sciences,1,Research Scientist,Married,Yes,No
Travel_Rarely,Research & Development,Medical,1,Laboratory Technician,Married,No,No
Travel_Frequently,Research & Development,Life Sciences,1,Laboratory Technician,Single,No,No
Travel_Rarely,Research & Development,Medical,1,Laboratory Technician,Married,Yes,No
Travel_Rarely,Research & Development,Life Sciences,1,Laboratory Technician,Divorced,No,No
Travel_Frequently,Research & Development,Life Sciences,3,Manufacturing Director,Single,No,No
Travel_Rarely,Research & Development,Medical,2,Healthcare Representative,Married,No,No
Travel_Rarely,Research & Development,Medical,1,Laboratory Technician,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,2,Laboratory Technician,Single,Yes,No
Travel_Rarely,Research & Development,Life Sciences,1,Research Scientist,Divorced,No,No
Travel_Rarely,Research & Development,Medical,1,Laboratory Technician,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,1,Laboratory Technician,Single,Yes,Yes
Travel_Rarely,Research & Development,Life Sciences,3,Manufacturing Director,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,1,Research Scientist,Divorced,Yes,No
Non-Travel,Research & Development,Medical,1,Laboratory Technician,Divorced,Yes,No
Travel_Rarely,Sales,Life Sciences,4,Manager,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,1,Research Scientist,Single,Yes,No
Non-Travel,Research & Development,Other,2,Manufacturing Director,Divorced,No,No
Travel_Rarely,Sales,Life Sciences,1,Sales Representative,Single,No,Yes
Travel_Rarely,Research & Development,Life Sciences,3,Research Director,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,1,Research Scientist,Single,No,No
Travel_Rarely,Research & Development,Medical,1,Research Scientist,Single,No,Yes
Travel_Rarely,Research & Development,Other,5,Manager,Divorced,No,No
Travel_Frequently,Research & Development,Life Sciences,1,Research Scientist,Single,Yes,Yes
Travel_Rarely,Sales,Marketing,2,Sales Executive,Married,No,No
Travel_Rarely,Research & Development,Medical,3,Healthcare Representative,Married,No,No
Travel_Rarely,Sales,Marketing,5,Manager,Single,No,No
Travel_Rarely,Research & Development,Medical,1,Laboratory Technician,Single,No,No
Travel_Rarely,Research & Development,Other,2,Healthcare Representative,Married,Yes,No
Travel_Rarely,Research & Development,Medical,1,Laboratory Technician,Single,No,No
Travel_Rarely,Sales,Technical Degree,2,Sales Representative,Married,No,Yes
Travel_Rarely,Research & Development,Medical,1,Research Scientist,Married,Yes,Yes
Travel_Rarely,Research & Development,Medical,1,Research Scientist,Divorced,No,No
Travel_Rarely,Sales,Marketing,1,Sales Representative,Married,Yes,Yes
Travel_Rarely,Sales,Marketing,1,Sales Representative,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,1,Research Scientist,Married,Yes,No
Travel_Frequently,Sales,Life Sciences,2,Sales Executive,Married,No,No
Travel_Rarely,Research & Development,Other,1,Laboratory Technician,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,1,Laboratory Technician,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,1,Laboratory Technician,Single,No,Yes
Travel_Frequently,Sales,Life Sciences,3,Sales Executive,Single,No,No
Travel_Frequently,Research & Development,Medical,2,Laboratory Technician,Single,No,No
Travel_Rarely,Research & Development,Technical Degree,5,Research Director,Married,No,Yes
Non-Travel,Sales,Marketing,2,Sales Executive,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,1,Research Scientist,Married,No,No
Travel_Frequently,Sales,Marketing,2,Sales Executive,Single,Yes,No
Travel_Rarely,Research & Development,Life Sciences,1,Laboratory Technician,Married,No,No
Travel_Rarely,Research & Development,Life Sciences,3,Laboratory Technician,Single,Yes,Yes
Travel_Rarely,Research & Development,Technical Degree,1,Laboratory Technician,Single,Yes,Yes
Travel_Rarely,Sales,Marketing,2,Sales Executive,Divorced,Yes,No
Non-Travel,Research & Development,Medical,3,Healthcare Representative,Married,Yes,No
Travel_Rarely,Sales,Marketing,2,Sales Executive,Married,Yes,No
Travel_Frequently,Research & Development,Life Sciences,3,Research Director,Single,Yes,No
Travel_Frequently,Sales,Life Sciences,3,Sales Executive,Married,No,No
Travel_Rarely,Research & Development,Medical,1,Laboratory Technician,Married,Yes,No
Travel_Rarely,Research & Development,Life Sciences,2,Laboratory Technician,Divorced,No,No
Travel_Rarely,Research & Development,Life Sciences,2,Manufacturing Director,Divorced,No,No
Travel_Rarely,Research & Development,Medical,2,Manufacturing Director,Married,Yes,No
Travel_Frequently,Research & Development,Life Sciences,2,Laboratory Technician,Single,No,No
Travel_Rarely,Research & Development,Medical,5,Research Director,Divorced,Yes,No
Travel_Rarely,Sales,Life Sciences,3,Sales Executive,Single,No,No
Travel_Rarely,Research & Development,Technical Degree,3,Healthcare Representative,Divorced,No,No
Travel_Rarely,Research & Development,Medical,4,Manager,Divorced,Yes,No
Travel_Frequently,Research & Development,Life Sciences,2,Manufacturing Director,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,3,Research Scientist,Divorced,No,No
Travel_Frequently,Research & Development,Medical,1,Research Scientist,Married,No,No
Travel_Rarely,Research & Development,Medical,1,Research Scientist,Married,Yes,Yes
Travel_Frequently,Sales,Life Sciences,2,Sales Executive,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,1,Research Scientist,Married,No,No
Travel_Rarely,Research & Development,Medical,1,Research Scientist,Single,No,No
Travel_Rarely,Research & Development,Life Sciences,2,Research Scientist,Married,No,No
